35	1840000
21	1675000
39	1595000
25	1490000
38	1595000
24	1500000
22.5	1550000
27	1520000
33	1645000
37	1390000
36	1795000
40.1	1770000
41	1765000
38.5	1450000
37	1750000
17	1225000
39	1620000
27	1480000
21	1300000
42	1770000
21	1365000
19	1100000
28.4	1900000
40	995000
37.7	1795000
40	1725000
30	1345000
17	1075000
43.5	1725000
32.5	1250000
26	1305000
11.1	1050000
38	1710000
40	1900000
28	1600000
24	1195000
31	1460000
36.8	2265000
25.5	1395000
31.4	1410000
35	1770000
39.5	1850000
32	1650000
36	1600000
38.5	1885000
38	1920000
35	1375000
35	1400000
35	1400000
35	1400000
35	1375000
35	1350000
35	1350000
35	1350000
35	1400000
36	1495000
33	1620000
30.5	1360000
40.5	2075000
34	2060000
33	1386000
51.3	1600000
27	1775000
41.5	1895000
27	1650000
33	2117000
30	1730000
39	1660000
42	1950000
37.9	1795000
42.5	2100000
26.5	1400000
28	1800000
41.5	1650000
32	1280000
27	1595000
40.5	1750000
24	1275000
27	1495000
43	1495000
38	1400000
50	2060000
34	1850000
39.5	1750000
27	1645000
42.2	1950000
32	1625000
42	2100000
34	1650000
27	1625000
47.5	1395000
25.5	1260000
30	1795000
32	1750000
47	1600000
31.4	1300000
34.7	1650000
18	1100000
21	1130000
28	1495000
35	1725000
27	1795000
18	1395000
30	1751000
27	1695000
36	1595000
28.4	1930000
30	1795000
39	1595000
27	1800000
24.5	1535000
24.5	1600000
26	1650000
25	1760000
27	1295000
27	1450000
32.5	1445000
23	1600000
28.7	1750000
49	1680000
40.5	1370000
29	1450000
41	1695000
37	2050000
24	1495000
28	1720000
41	1995000
38	1550000
43	1300000
28	1300000
35	2475000
24.5	1260000
24.4	1725000
30.4	2100000
24.4	1850000
31	1450000
22	1700000
46	2150000
37.7	1625000
19	1450000
37.5	1900000
24	1560000
37	1670000
41	1515000
32	1800000
29.7	1695000
27	1595000
27	1550000
41.1	1500000
21	1150000
31	1375000
42	1950000
28.7	1695000
24	1600000
27	1740000
27	1680000
34	2500000
34.1	1800000
52.3	2050000
33	1800000
22.5	1300000
27	1395000
36	1650000
30.4	1750000
42.2	2150000
28	1770000
31	1600000
27	1650000
26	1495000
35.5	1750000
21	1195000
36	2030000
